Nombre común|Nombre Ingles|Nombre científico|Clase|Orden|Familia|Golfo de México|Mar Caribe|Pacífico|Fuera del país|Grupo|Nacional/Importado|Objetivo|incidental|Deportiva|Fomento|Cultivada|Cartel|Tríptico|Tallas de captura (cm)|Selectiva_NoSelectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades|Distribución|Cultivada / capturada|Comercio|País de importación|Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California|Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec|Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Recomendacion|Peso
Pámpano palometa|Permit|Trachinotus falcatus|Actinopterygii|Perciformes|Carangidae|1|0|0|0|Pámpanos|Nacional|0|1|0|0|0|1|Tríptico|48-122|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina que vive en zonas arrecifales y en fondos fangosos y arenosos. Se alimenta de moluscos, crustáceos, y pequeños peces.|Se distribuye en el Atlántico occidental, desde Massachusetts, hasta Brasil.|Capturada|Se utiliza la carne.|||||Desconocida|Desconocida|Desconocida||||||TrachinotusFalcatus.png|0|0
Pámpano paloma|Paloma Pompano|Trachinotus paitensis|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Pámpanos|Nacional|0|1|0|0|0|2||30-50|No selectiva|Red de enmalle y red agallera de deriva.||||||Especie marina de hábitos costeros. Vive en zonas arenosas poco profundas. Se alimenta de moluscos, peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde el sur de California a Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||Trachinotus paitensis.png|0|0
Pámpano fino|Gafftopsail Pompano|Trachinotus rhodopus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Pámpanos|Nacional|0|1|0|0|0|1|Tríptico|20-60|No selectiva|Chinchorro playero, red agallera, red de cerco.||||||Especie marina de hábitos costeros. Vive en las rompientes, en playas arenosas, arrecifes y zonas rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde el sur de California hasta Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||TrachinotusRhodopus.png|0|0
Pámpano de hebra||Alectis ciliaris|Actinopterygii|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Jorobado||Selene brownii|Actinopterygii|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Jorobado||Selene setapinnis|Actinopterygii|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Jorobado||Selene vomer|Actinopterygii|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Pámpano||Trachinotus goodei|Actinopterygii|Perciformes|Carangidae|1|1|0|0|||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Tiburón canguay|Blacknose Shark|Carcharhinus acronotus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|0|0|Cazones|Nacional|1|0|0|0|0|1|Tríptico|103-200|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.|Especie marina que vive en la zona costera preferentemente en aguas tropicales y templadas cálidas con fondos de arena y coral. Se alimenta de peces pequeños.|Se distribuye por todo el Atlántico occidental, desde Carolina del Norte, Florida, Bahamas, Golfo de México, Venezuela y sur de Brasil.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||CarcharhinusAcronotus.png|0|0
Cazón poroso|Smalltail Shark|Carcharhinus porosus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|1|0|Cazones|Nacional|1|0|0|0|0|2||80-150|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.||||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.  (Pacífico) del 1 de mayo al 31 de julio.|Especie marina que vive en la zona costera preferentemente en aguas tropicales y templadas cálidas con fondos de arena y coral. Se alimenta de peces pequeños.|Se distribuye por todo el Atlántico occidental, desde Carolina del Norte, Florida, Bahamas, Golfo de México, Venezuela y sur de Brasil. Pacífico centro occidental y Sur.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Carcharhinus porosus.png|1|0
Cazón bironche|Pacific Sharpnose Shark|Rhizoprionodon longurio|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Cazones|Nacional|1|0|0|0|0|1|Tríptico|60-100|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros y poco profundos. Vive en fondos arenosos y fangosos. Se alimenta de peces, moluscos y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||RhizoprionodonLongurio.png|1|0
Cazón de ley|Atlantic Sharpnose Shark|Rhizoprionodon terraenovae|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|0|0|Cazones|Nacional|1|0|0|0|0|1|Tríptico|85-110|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.||||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.|Especie marina de aguas continentales. Vive en la zona intermareal y aguas profundas. Se alimenta de peces, crustáceos, gusanos y moluscos.|Se distribuye en el Atlántico occidental, desde Canada hasta Brasil.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||RhizoprionodonTerraenovae.png|1|0
Coyotito|Whitenose shark|Nasolamia velox|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||90-150|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros y poco profundos. Vive en fondos arenosos y fangosos. Se alimenta de peces, moluscos y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Nasolamia velox.png|1|0
Tiburón curro|Spinner shark|Carcharhinus brevipinna|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|0|0|Tiburones|Nacional|1|0|0|0|0|2||170-260|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones y peces.|Se distribuye en el Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Carcharhinus brevipinna.png|1|0
Tiburón piloto|Silky shark|Carcharhinus falciformis|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|1|0|Tiburones|Nacional|1|0|0|0|0|2||80-330|Selectiva|Palangres y redes de enmalle establecidos en la NOM-029-PESCA 2006 de Tiburones y Rayas.|Casi amenazada|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.  (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones y peces.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Carcharhinus falciformis.png|1|0
Tiburón dentiliso|Finetooth Shark|Carcharhinus isodon|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|0|0|Tiburones|Nacional|1|0|0|0|0|2||130-190|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.||||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.|Especie marina de hábitos costeros y poco profundos. Vive en fondos arenosos y fangosos. Se alimenta de peces, moluscos y crustáceos.|Se distribuye en el Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Carcharhinus isodon.png|1|0
Tiburón toro|Bull Shark|Carcharhinus leucas|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|1|0|Tiburones|Nacional|1|1|0|0|0|1|Tríptico|180-360|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.  (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos dulceacuícolas. Vive en aguas poco profundas principalmente en bahías, estuarios y ríos. Se alimenta de mamíferos, tortugas, peces, tiburones, rayas e invertebrados.|Su distribución es mundial, se encuentra en el Océano Atlántico y Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||CarcharhinusLeucas.png|1|0
Tiburón volador|Blacktip Shark|Carcharhinus limbatus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|1|0|Tiburones|Nacional|1|0|0|0|0|2||120-270|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.  (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones y peces.|Su distribución es mundial, se encuentra en el Océano Atlántico y Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Carcharhinus limbatus.png|1|0
Tiburón oceánico|Oceanic whitetip shark|Carcharhinus longimanus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||180-390|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Vulnerable|Apéndice II||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina, de hábitos oceánicos y aguas profundas. Se alimenta de peces, tortugas, manta rayas, aves, calamares y de mamíferos muertos.|Su distribución es mundial, se encuentra en el Océano Atlántico y Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Carcharhinus longimanus.png|1|0
Tiburón gambuso|Dusky Shark|Carcharhinus obscurus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||100-400|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Vulnerable|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive en estuarios y fondos arenosos o fangosos. Se alimenta de otros tiburones y peces.|Su distribución es mundial, se encuentra en el Océano Atlántico y Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Carcharhinus obscurus.png|1|0
Tiburón aleta de cartón|Sandbar Shark|Carcharhinus plumbeus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|0|0|Tiburones|Nacional|1|0|0|0|0|1|Tríptico|126-250|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Vulnerable|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.|Especie marina de hábitos costeros. Vive en estuarios y fondos arenosos o fangosos. Se alimenta de lenguados, rayas, cangrejos, caracoles y calamares.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||CarcharhinusPlumbeus.png|1|0
Tiburón nocturno|Shark Night|Carcharhinus signatus|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|0|0|Tiburones|Nacional|1|0|0|0|0|2||60-280|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Vulnerable|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones y peces.|Se distribuye en el Golfo de México y Mar Caribe.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Carcharhinus signatus.png|1|0
Tintorera|Tiger Shark|Galeocerdo cuvier|Chondrichthyes|Carcharhiniformes|Carcharhinidae|1|1|1|0|Tiburones|Nacional|1|0|0|0|0|3||100-400|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Casi amenazada|||Temporal fija|(Golfo de México y Caribe) del 1 de mayo al 29 de agosto.  (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive en estuarios y fondos arenosos o fangosos. Se alimenta de peces, tortugas, manta rayas, aves, calamares y de mamíferos muertos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Galeocerdo cuvier.png|1|0
Tiburón limón|Lemon Shark|Negaprion brevirostris|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||100-340|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive en estuarios y fondos arenosos o fangosos.  Se alimenta de peces y crustaceos.|Su distribución es mundial, se encuentra en el Océano Atlántico y Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Negaprion brevirostris.png|1|0
Tiburón azul|Blue Shark|Prionace glauca|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2||150-400|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina, de hábitos oceánicos y aguas profundas.  Se alimenta de peces, tortugas, manta rayas, aves, calamares y de mamíferos muertos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||Prionace glauca.png|1|0
Chucumite|Smallscale Fat|Centropomus parallelus|Actinopterygii|Perciformes|Centropomidae|1|0|0|0|Robalo|Nacional|1|0|0|0|0|2||20-70|No selectiva|Redes de enmalle.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Centropomus parallelus.png|1|0
Robalo espina larga||Centropomus armatus|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo||1|0|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos||||0|0
Robalo aleta prieta|Blackfin Snook|Centropomus medius|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo|Nacional|1|0|0|0|0|1|Tríptico|30-65|Selectiva|Línea de mano para peces pelágicos y demersales, curricán para pesca de especies pelágicas.||||||Especie marina de hábitos costeros. Vive en zonas estuarinas, manglares, bahías y en las boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Colombia.|Capturada|Se utiliza la carne.|||||||||||||CentropomusMedius.png|0|0
Robalo prieto|Black Snook|Centropomus nigrescens|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo|Nacional|1|0|0|0|0|1|Tríptico|45-120|Selectiva|Línea de mano para peces pelágicos y demersales, curricán para pesca de especies pelágicas.||||||Especie marina de hábitos costeros. Vive en zonas estuarinas, manglares, bahías y en las boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne.|||||||||||||CentropomusNigrescens.png|0|0
Robalo prieto|Mexican Snook|Centropomus poeyi|Actinopterygii|Perciformes|Centropomidae|1|0|0|0|Robalo|Nacional|1|0|0|0|0|2||40-90|No selectiva|Redes de enmalle.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos.|Se distribuye en el Atlántico central y Golfo de México.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||Centropomus poeyi.png|0|0
Robalo aleta amarilla|Yellowfin Snook|Centropomus robalito|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo|Nacional|1|0|0|0|0|1|Tríptico|25-35|Selectiva|Línea de mano para peces pelágicos y demersales, curricán para pesca de especies pelágicas.||||||Especie marina de hábitos costeros. Vive en zonas estuarinas, manglares, bahías y en las boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne.||||||||sin datos|sin datos|sin datos|||CentropomusRobalito.png|0|0
Robalo blanco|Common Snook|Centropomus undecimalis|Actinopterygii|Perciformes|Centropomidae|1|0|0|0|Robalo|Nacional|1|0|0|0|0|1|Tríptico|50-96|No selectiva|Redes de enmalle.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||CentropomusUndecimalis.png|0|0
Robalo plateado||Centropomus viridis|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Robalo constantino|Tarpon Snook|Centropomus pectinatus|Actinopterygii|Perciformes|Centropomidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|3||40-55|No selectiva|Redes de enmalle.||||||Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos|Sin datos|Sin datos|||||||0|0
Sabalote||Chanos chanos|Actinopterygii|Gonorynchiformes|Chanidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||||||||0|0
Aranque del Atlántico|Atlantic Herring|Clupea harengus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2||20-25|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo.||||||Especie marina  de hábitos costeros. Se alimenta de crustáceos planctónicos, pequeños peces e invertebrados.|Se distribuye en el Atlántico Norte.|Capturada|Congelado.|Estados Unidos, Canada.||||||||||||Clupea harengus.png|0|0
Arenque del Pacífico|Pacific Herring|Clupea pallasii|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2||20-35|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo.||||||Especie marina  de hábitos costeros. Se alimenta de crustáceos planctónicos, pequeños peces e invertebrados.|Se distribuye en el Pacífico Norte|Capturada|Congelado.|Estados Unidos, Canada.||||||||||||Clupea pallasii.png|0|0
Sardina|True Sardina|Sardina pilchardus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2||20-25|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo.||||||Especie marina de hábitos pelágicos y oceánicos. Se alimenta principalmente de crustáceos planctónicos.|Se distribuye en el Atlántico nororiental, Mar Mediterráneo y Mar Negro.|Capturada|Fresco, congelado.|||||||||||||Sardina pilchardus.png|0|0
Sardina|European Sprat|Sprattus sprattus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2||20-25|No Selectiva|Redes de arrastre y redes de deriva.||||||Especie marina de hábitos pelágicos, a veces se encuentra en estuarios. Se alimenta principalmente de crustáceos planctónicos.|Se distribuye en el Atlántico nororiental, Mar Mediterráneo y Mar Negro.|Capturada|Fresco, congelado.|||||||||||||Sprattus sprattus.png|0|0
Sardina de escama fina||Brevoortia gunteri|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina lacha||Brevoortia patronus|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina carapachona||Harengula clupeola|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina vivita escamuda|Scaled Sardine|Harengula jaguana|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas|Nacional|1|0|0|0|0|1|Tríptico|12-21 cm|No selectiva|Chinchorro playero, red agallera para escama pelágica, red agallera para escama de fondo.||||||Especie marina y costera, vive en fondos de arena y fango. Se alimenta de pequeños invertebrados.|Se distribuye en el Atlántico occidental, desde New Jersey a Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||HarengulaJaguana.png|0|0
Sardine crinuda azul||Opisthonema bulleri|Actinopterygii|Clupeiformes|Clupeidae|0|0|1|0|Sardinas||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina crinuda||Opisthonema libertate|Actinopterygii|Clupeiformes|Clupeidae|0|0|1|0|Sardinas||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina crinuda machete||Opisthonema medirastre|Actinopterygii|Clupeiformes|Clupeidae|0|0|1|0|Sardinas||1|0|0|0|0|3|||||||||||||||||||||||||||0|0
Sardina vivita de hebra|Atlantic Thread Herring|Opisthonema oglinum|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas|Nacional|1|0|0|0|0|1|Tríptico|14-38|No selectiva|Chinchorro playero, red agallera para escama pelágica, red agallera para escama de fondo.||||||Especie marina de aguas poco profundas. Vive en zonas costeras y cerca de los puertos. Se alimenta de plancton, de pequeños peces y crustáceos.|Se distribuye en el Atlántico occidental, desde Estados Unidos hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||OpisthonemaOglinum.png|0|0
Sardina Monterrey|Pacific Sardine|Sardinops sagax|Actinopterygii|Clupeiformes|Clupeidae|0|0|1|0|Sardinas|Nacional|1|0|0|0|0|1|Tríptico|13-40|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana 003-PESC-1993.||||||Especie marina de hábitos costeros y pelágicos. Viven la columna de agua. Se alimenta de crustáceos planctónicos.|Se distribuye en todo el Pacífico Oriental e Indo Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Sin datos|Sin datos|||||||||SardinopsSagax.png|0|0
Dorado|Dolphinfish|Coryphaena hippurus|Actinopterygii|Perciformes|Coryphaenidae|0|0|1|0|Dorado|Nacional|0|0|1|0|0|3||50-200|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|Sin datos|Sin datos|Sin datos|||||||0|0
Raya látigo blanca|Southern Stingray|Dasyatis americana|Chondrichthyes|Rajiformes|Dasyatidae|1|1|0|0|Chondrichthyes|Nacional|1|0|0|0|0|1|Tríptico|90-200|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina tolerante a cambios de salinidad y temperatura. Vive en zonas arenosas, praderas de pastos marinos, lagunas y zonas arrecifales. Se alimenta de grandes invertebrados y peces.|Se distribuye en el Atlántico occidental, desde Nueva Jersey, Golfo de México, Brasil y Antillas.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||DasyatisAmericana.png|0|0
