Nombre común |Nombre inglés |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo|Nacional/Importado|Objetivo |Incidental |Deportiva |Fomento |Cultivada |Cartel|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación|Pacífico zona 1|Pacífico zona 2|Pacífico zona 3|Golfo Mex y Caribe zona 1|Golfo Mex y Caribe zona 2|Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Datos|||firma
Sabalote|Milkfish|Chanos chanos|Actinopterygii|Gonorynchiformes|Chanidae|0|0|1|0|Escama|Nacional e Importado|0|1|0|0|1|2|100-180|No selectiva|Red de enmalle o chinchorro lisero.      ||||||Especie marina que entra en estuarios y ríos (anadromo). Los adultos forman pequeños y grandes cardúmenes cerca de las costas o alrededor de las islas donde los arrecifes están bien desarrollados.Los juveniles y subadultos regresan al mar donde maduran sexualmente. |Se distribuye en el Indo-Pacífico, a lo largo de las plataformas continentales y alrededor de las islas, donde las temperaturas son superiores a 20 ° C. Mar Rojo y Sudáfrica a Hawai y las Marquesas, al norte de Japón, al sur de Victoria, Australia.|Capturada|Se utiliza la carne.|Japon.|Sin datos.|Sin datos.|Sin datos.|||||||||Chanos chanos.png|0|||
Horqueta del Pacífico|Pacific Bumper|Chloroscombrus orqueta|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles|Nacional|0|1|0|0|0|2|15-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en aguas poco profundas en lagunas costeras y estuarios comúnmente en zonas de manglar. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde el sur de California a Perú.  |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Chloroscombrus orqueta.png|0|||
Lenguado alón|Longfin Sanddab|Citharichthys xanthostigma|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados|Nacional|0|1|0|0|0|2|20-25|No selectiva| Redes de enmalle de fondo y redes de arrastre, y en forma secundaria se utilizan líneas de anzuelos.||||||Especie marina de hábitos costeros. Habita en fondos arenosos o fangosos. Se alimenta generalmente de peces.|Se distribuye desde Bahía Monterey, California hasta Costa Rica.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Citharichthys xanthostigma.png|1|||
Aranque del Atlántico|Atlantic Herring|Clupea harengus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2|20-25|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo. ||||||Especie marina  de hábitos costeros. Se alimenta de crustáceos planctónicos, pequeños peces e invertebrados.|Se distribuye en el Atlántico Norte. |Capturada|Congelado.|Estados Unidos, Canada.||||||||||||Clupea harengus.png|0|||FMM
Arenque del Pacífico|Pacific Herring|Clupea pallasii|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2|20-35|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo. ||||||Especie marina  de hábitos costeros. Se alimenta de crustáceos planctónicos, pequeños peces e invertebrados.|Se distribuye en el Pacífico Norte|Capturada|Congelado.|Estados Unidos, Canada.||||||||||||Clupea pallasii.png|0|||FMM
Ronco canario|Barred Grunt|Conodon nobilis|Actinopterygii|Perciformes|Haemulidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|25-33|No selectiva|Chinchorro playero, curricán, línea de mano y palangre.||||||Especie marina de hábitos costeros. Vive en fondos fangosos. Se alimenta por la noche, de crustáceos y pequeños peces.|Se distribuye en el Atlántico Occidental, desde Florida EE.UU. hasta Brasil. Incluyendo el Oeste del Golfo de México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Conodon nobilis.png|0|||
Dorado|Dolphinfish|Coryphaena hippurus|Actinopterygii|Perciformes|Coryphaenidae|1|1|1|0|Dorados|Nacional|0|0|1|0|0|2|50-200|Selectiva|Pesca con caña. ||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.||||||Coryphaena hippurus.png|0|||FMM
Corvina chiapaneca|Queen Corvina|Cynoscion albus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|2|50-130|No selectiva|Red Agallera para Esteros y Línea de Costa.||||||Especie marina de  hábitos costeros. Habitan estuarios, desembocaduras de ríos y bahías poco profundas. Se alimentan de camarones y peces.|Se distribuye en el Pacífico Oriental, desde el sur de México hasta Ecuador.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||Cynoscion albus.png|1|||FMM
Corviva arenera|Sand Seatrout|Cynoscion arenarius|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|35-64|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive  sobre fondos arenosos en aguas poco profundas, siendo relativamente abundante en la zona de rompientes. Se alimenta de peces y crustáceos. |Se distribuye en el Atlántico Occidental, desde Florida, EE.UU. y el Golfo de México hasta la Bahía de Campeche, México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Cynoscion arenarius.png|0|||FMM
Corvina enana|Dwarf Weakfish|Cynoscion nannus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|2|20-27|No selectiva|Red de arrastre para escama, redes de enmalle, con línea de mano e incidentalmente en la pesca de cimbra.||||||Especie marina de hábitos pelágicos. Habita en aguas profundas a varias millas de la costa. Se aliemta de invertebrados.|Se distribuye en el Este y Centro del Pacífico Mexicano. |Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Cynoscion nannus.png|1|||FMM
Corvina pinta|Spotted Seatrout|Cynoscion nebulosus|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Corvinas|Nacional|1|0|0|0|0|1|35-100|No selectiva|Red Agallera para Esteros y Línea de Costa.||||||Especie marina  de  hábitos costeros. Vive en estuarios, bocas de ríos y pastos marinos. Se alimenta de crustáceos y peces. |Se distribuye en el Atlántico occidental, desde Nueva York hasta el Golfo de México.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Sin datos.||||||CynoscionNebulosus.png|1|||FMM
Corviva plateada|Silver Seatrout|Cynoscion nothus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|25-36|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita generalmente sobre fondos arenosos en aguas cercanas a la costa a lo largo de las playas y en las desembocaduras de ríos. Se alimenta principalmente de crustáceos y peces. |Se distribuye en el Atlántico Occidental, desde Maryland hasta el noreste de la Florida en los EE.UU. y en todo el Golfo de México. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Cynoscion nothus.png|0|||FMM
Corvina golfina|Gulf Corvina|Cynoscion othonopterus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|65-90|Selectiva|Línea de mano para peces pelágicos y demersales. |Vulnerable|||Temporal fija|  1 de mayo al 31 de agosto |Especie marina que vive cerca de la costa. Los juveniles y los adultos apunto de desovar se encuentran cerca de los ríos.|Especie endémica del Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.||||sobre pesca|sobre pesca|sobre pesca|||CynoscionOthonopterus.png|1|||FMM
Corvina azul|Shortfin Weakfish|Cynoscion parvipinnis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|2|40-70|No selectiva|Red Agallera para Esteros y Línea de Costa.||||||Especie marina de hábitos costeros. Habita en zonas arenosas poco profundas. Se alimenta principalmente de pequeños peces. |Se distribuye en el Pacífico Oriental, desde el sur de California, EE.UU. a Mazatlán, México y el Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||Cynoscion parvipinnis.png|1|||FMM
Corvina rayada|Striped Corvina|Cynoscion reticulatus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|36-90|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en zonas costeras y particularmente en estuarios con concentraciones altamente salinas. Se alimenta de peces, camarones y otros crustáceos. |Se distribuye en el Pacífico Oriental, desde el Golfo de California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||CynoscionReticulatus.png|1|||FMM
Corvina boca anaranjada|Orangemouth Corvina|Cynoscion xanthulus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|40-130|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en zonas costeras y lagunas marinas a profundidades de 50 metros preferentemente con fondos fangosos y arenosos. Se alimenta peces y crustáceos. |Se distribuye en el Pacífico Oriental, desde Baja California Sur, Golfo de California, hasta Chiapas.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||CynoscionXanthulus.png|1|||FMM
Raya látigo blanca|Southern Stingray|Dasyatis americana|Chondrichthyes|Rajiformes|Dasyatidae|1|1|0|0|Rayas|Nacional|1|0|0|0|0|1|90-200|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina tolerante a cambios de salinidad y temperatura. Vive en zonas arenosas, praderas de pastos marinos, lagunas y zonas arrecifales. Se alimenta de grandes invertebrados y peces. |Se distribuye en el Atlántico occidental, desde Nueva Jersey, Golfo de México, Brasil y Antillas. |Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||DasyatisAmericana.png|1|||FMM
Raya látigo redonda|Whiptail Stingray|Dasyatis brevis|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Rayas|Nacional|1|0|0|0|0|1|120-190|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive en manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||DasyatisBrevis.png|1|||FMM
Raya látigo del Golfo|Longnose Stingray|Dasyatis guttata|Chondrichthyes|Rajiformes|Dasyatidae|1|1|0|0|Rayas|Nacional|1|0|0|0|0|2|125-200|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Habita en aguas poco profundas. Ovovivíparos |Se distribuye en el Atlántico Occidental, desde el sur del Golfo de México y las Antillas a Santos, Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||Dasyatis guttata.png|1|||
Raya látigo largo|Longtail Stingray|Dasyatis longa|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Rayas|Nacional|1|0|0|0|0|2|90-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye desde Baja California Sur hasta las Islas Galápagos. |Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Dasyatis longa.png|1|||
en blanco|Atlantic Stingray|Dasyatis sabina|Chondrichthyes|Rajiformes|Dasyatidae|1|0|0|0|Rayas|Nacional|1|0|0|0|0|1|27-60|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados. |Se distribuye en el Atlántico occidental, desde Chesapeake Bay, sur de Florida y Golfo de México.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||DasyatisSabina.png|1|||
Macarella caballa|Mackerel Scad|Decapterus macarellus|Actinopterygii|Perciformes|Carangidae|1|1|1|0|Escama|Nacional|0|1|0|0|0|2|30-50|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos oceánicos. Vive cerca de las islas a profundidades que van de los 40 a 200 metros. Se alimenta del zooplancton.      |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|sin datos|sin datos |sin datos |||Decapterus macarellus.png|0|||FMM
Macarela mexicana|Amberstripe Scad|Decapterus muroadsi|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|30-50|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos oceánicos y costeros. Se alimenta de invertebrados planctónicos.       |Se distribuye en el Indo Pacífico y Pacífico Oriental, desde el Golfo de California hasta Perú.        |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Decapterus muroadsi.png|0|||
Cabrilla cueruda|Leather Bass|Dermatolepis dermatolepis|Actinopterygii|Perciformes|Serranidae|0|0|1|0|Baquetas|Nacional|0|1|0|0|0|2|60-90|Selectiva|Capturada ocasionalmente con línea y anzuelo en el norte del golfo, o por arponeros furtivos.||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos. Se alimentan de otros peces e invertebrados. |Se distribuye desde Baja California hasta Ecuador incluyendo las Islas Revillagigedo. |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||sobre pesca|colapso|sobre pesca|||Dermatolepis dermatolepis.png|0|||
Mojarra guacha|Irish Pompano|Diapterus auratus|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|20-34|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en aguas poco profundas, especialmente en arroyos y lagunas bordeadas de manglar. Se alimenta de invertebrados bentónicos. |Se distribuye en el Atlántico Occidental, desde Carolina del Norte, EE.UU. hasta São Paulo, Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Diapterus auratus.png|0|||FMM
Mojarra palometa|Golden Mojarra|Diapterus aureolus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras|Nacional|1|0|0|0|0|1|15-40|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y de bajas profundidades. Vive en fondos arenosos y fangosos. Se alimenta de partículas del sustrato.|Se distribuye en el Pacífico Oriental, desde el Golfo de California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||DiapterusAureolus.png|0|||FMM
Mojarra aletas amarillas|Peruvian Mojarra|Diapterus peruvianus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras|Nacional|1|0|0|0|0|1|15-30|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y de bajas profundidades. Vive en manglares y fondos arenosos y fangosos. Se alimenta de partículas del sustrato.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||máximo aprovechable|máximo aprovechable|máximo aprovechable|||DiapterusPeruvianus.png|0|||FMM
Lubina|European Seabass|Dicentrarchus spp.|Actinopterygii|Perciformes|Moronidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2|50-100|No selectiva|Redes de arrastre de fondo, redes de playa, anzuelos y líneas.||||||Especie marina de aguas costeras. Vive en estuarios y en las bocas de los ríos. Se alimenta de peces pequeños e invertebrados.|Se distribuye en el Atlántico Norte. Noruega, Islas Británicas, Mar Mediterráneo, Mar Negro y sur de Senegal. |Capturada|Congelado.|España, Nicaragua.||||||||||||Dicentrarchus spp.png|0|||FMM
Serrano arenero|Sand Perch|Diplectrum formosum|Actinopterygii|Perciformes|Serranidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|16-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en bahías, zonas costeras y bancos poco profundos. Se alimenta de peces y crustáceos. |Se distribuye en el Atlántico Occidental, desde  Carolina del Norte, EE.UU., el norte del Golfo de México y las Bahamas hasta el sur hasta Uruguay.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Diplectrum formosum.png|0|||FMM
Serrano cabicucho|Inshore Sand Perch|Diplectrum pacificum|Actinopterygii|Perciformes|Serranidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-28|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en fondos de arena y barro. Los juveniles y adultos pequeños se encuentran en la arena fina, cerca de la costa. . Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde el  Golfo de California y el sur de Baja California, México a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Diplectrum pacificum.png|0|||FMM
Aguavina|Pond Perch|Diplectrum radiale|Actinopterygii|Perciformes|Serranidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|20-26|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en los arrecifes de coral poco profundos y zonas rocosas. Se alimenta principalmente de otros peces y crustáceos. |Se distribuye en el Atlántico Occidental, desde Bermuda, Massachusetts, y el norte del Golfo de México hasta el sur de Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Diplectrum radiale.png|0|||
Austromerluza negra|Patagonian Toothfish|Dissostichus eleginoides|Actinopterygii|Perciformes|Nototheniidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2|70-200|No selectiva|Redes de arrastre de fondo.||||||Especie marina que vive en profundidades que van de los 70 a 1,500 metros. Se alimenta de peces y cefalópodos.  |Se distribuye en el mar Antártico.|Capturada|Congelado, filetes.|Estados Unidos.||||||||||||Dissostichus eleginoides.png|0|||FMM
Tiburón espinoso|Prickly Shark|Echinorhinus cookei |Chondrichthyes|Squaliformes|Echinorhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|2|100-400|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones, peces y calamares.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú. |Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Echinorhinus cookei.png|1|||FMM
Macarela salmón |Rainbow Runner|Elagatis bipinnulata|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|90-180|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos oceánicos y costeros. Vive cerca de los arrecifes o en el mar abierto alrededor de objetos flotantes. Se alimenta de crustáceos y peces pequeños.   |Se distribuye desde el Atlántico Occidental y norte del Golfo de México, Atlántico Oriental y Mar Mediterráneo, Indo Pacífico y Pacífico Oriental, Golfo de California, Ecuador e Islas Galápagos.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Elagatis bipinnulata.png|1|||FMM
Guabina de río|Spinycheek Sleeper|Eleotris pisonis|Actinopterygii|Perciformes|Eleotridae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|12.5-25|No selectiva|Red de enmalle, red de cerco y chinchorro playero.||||||Especie marina de hábitos costeros. Los adultos se encuentran en fondos someros, fangosos o arenosos Se alimentan de larvas y pupas de dípteros, crustáceos como cangrejos y camarones; y peces pequeños.|Se distribuye de noroeste a oeste del Atlántico Centro, desde  Bermuda, Bahamas, Carolina del Sur y norte del Golfo de México en EE.UU. hasta el sureste de Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Eleotris pisonis.png|0|||FMM
Machete del Pacífico|Machete|Elops affinis|Actinopterygii|Elopiformes|Elopidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|50-91|No selectiva|Red de enmalle, red de cerco y chinchorro playero.||||||Especie marina de hábitos costeros. Se alimentan de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde California, EE.UU. hasta Perú, incluyendo el Golfo de California.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Elops affinis.png|0|||FMM
Machete del Atlántico|Ladyfish|Elops saurus|Actinopterygii|Elopiformes|Elopidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|60-100|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros, Vive en estuarios salobres y los juveniles son comunes en las lagunas y bahías. Forman grandes cardúmenes cerca de la orilla. Se alimentan principalmente de crustáceos y peces pequeños.|Se distribuye en el Atlántico Occidental, desde las Bermudas EE.UU. y norte del Golfo de México, hasta el sur de Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Elops saurus.png|0|||FMM
Anchoveta norteña|Northern Anchovy|Engraulis mordax|Actinopterygii|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas|Nacional|1|0|0|0|0|2||No selectiva| Red de cerco con jareta, redes de arrastre y red agallera.||||||Especie marina de hábitos costeros y pelágicos. Generalmente se encuentran en aguas poco profundas a unos 30 km de la costa. Se alimenta de pequeños crustáceos. | Se distribuye en el Noreste del Pacífico, desde el norte de la Isla de Vancouver al sur de Cabo San Lucas, Baja California, México. |Capturada|Procesado en harina de pescado, que se utiliza como cebo para el atún, de vez en cuando en lata.||Sin datos.|Sin datos.|Sin datos.||||sin datos|sin datos|sin datos|||Engraulis mordax.png|0|||
Cabrilla payaso|Rock Hind|Epinephelus adscensionis|Actinopterygii|Perciformes|Serranidae|1|1|0|0|Meros|Nacional|1|0|0|0|0|1|25-60|Selectiva|Línea de mano para peces pelágicos y demersales, palangre para mero.||||Temporal fija| (Golfo de México y Caribe) del 15 febrero al 15 de marzo.|Especie marina de hábitos costeros. Vive a una profundad  de 1 a 120 metros, se encuentra en zonas rocosas y arrecifales. Se alimenta de crustáceos y peces. |Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne.|||||En deterioro.|En deterioro.|En deterioro.||||||EpinephelusAdscensionis.png|1|||
Cabilla pinta|Spotted Grouper|Epinephelus analogus|Actinopterygii|Perciformes|Serranidae|0|0|1|0|Cabrillas|Nacional|1|0|0|0|0|2|60-100|Selectiva|Línea de mano para peces pelágicos y demersales, palangre para mero.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales. Se alimenta principalmente de crustáceos y peces en fondos rocosos y arenosos.|Se distribuye en el Pacífico Oriental, desde el sur de California en los EE.UU. hasta Perú, incluyendo Revillagigedo, Clipperton y las islas Galápagos.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.||||sobre pesca|colapso|sobre pesca|||Epinephelus analogus.png|0|||
Lenteja|Speckled Hind|Epinephelus drummondhayi|Actinopterygii|Perciformes|Serranidae|1|1|0|0|Meros|Nacional|1|0|0|0|0|2|70-110|Selectiva|Línea de mano para peces pelágicos y demersales, palangre para mero.|En peligro crítico|||Temporal fija| (Golfo de México y Caribe) del 15 febrero al 15 de marzo.|Especie marina de hábitos oceánicos. Vive en fondos rocosos. |Se distribuye en el Atlántico occidental, desde Carolina del Norte hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Epinephelus drummondhayi.png|0|||
Payaso|Red Hind|Epinephelus guttatus|Actinopterygii|Perciformes|Serranidae|1|1|0|0|Meros|Nacional|1|0|0|0|0|2|40-76|No selectiva|Pangas con palangre o cimbra baquetera, red agallera mantera, línea de mano, y barcos escameros de arrastre.||||Temporal fija| (Golfo de México y Caribe) del 15 febrero al 15 de marzo.|Especie marina de hábitos costeros. Vive en arrecifes poco profundos y fondos rocosos.  Se alimentan principalmente de cangrejos, otros crustáceos, peces  y pulpos.|Se distribuye en el Atlántico Occidental, desde Carolina del Norte, EE.UU. Hasta Paraíba, Brasil .|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Epinephelus guttatus.png|0|||FMM
Mero guasa|Goliath Grouper|Epinephelus itajara|Actinopterygii|Perciformes|Serranidae|1|1|1|0|Meros|Nacional|1|1|0|0|0|2|150-250|Selectiva|Línea de mano para peces pelágicos y demersales, palangre para mero.|En peligro crítico|||Temporal fija| (Golfo de México y Caribe) del 15 febrero al 15 de marzo.|Especie marina de hábitos costeros. Vive en fondos rocosas, y coralinos. Los juveniles se encuentran en zonas de manglares y estuarios salobres. Se alimentan principalmente de crustáceos, langostas , así como tortugas y peces, incluyendo rayas. |Se distribuye en el Atlántico Occidental, desde Florida, EE.UU. hasta el sur de Brasil, incluyendo el Golfo de México y el Caribe. Por la parte del Pacifico, se distribuye desde el Golfo de California hasta Perú.|Capturada|Fresco y congelado.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Sin datos.|En deterioro.|En deterioro.|En deterioro.||||||Epinephelus itajara.png|1|||FMM
